geoid,2016 median income,2016 median income margin of error,2016 race: total households,2016 race: total households margin of error,2016 race: White,2016 race: Black,2016 race: Asian,2016 race: Other,2016 race: 2 or more races,2017 median income,2017 median income margin of error,2017 race: total households,2017 race: total households margin of error,2017 race: White,2017 race: Black,2017 race: Asian,2017 race: Other,2017 race: 2 or more races,2018 median income,2018 median income margin of error,2018 race: total households,2018 race: total households margin of error,2018 race: White,2018 race: Black,2018 race: Asian,2018 race: Other,2018 race: 2 or more races,2019 median income,2019 median income margin of error,2019 race: total households,2019 race: total households margin of error,2019 race: White,2019 race: Black,2019 race: Asian,2019 race: Other,2019 race: 2 or more races
06037651201,127409,10797,4785,283,3535,28,897,23,229,137159,18895,4909,289,3653,30,922,28,211,147628,11751,4834,241,3433,29,924,61,320,139643,14771,5018,288,3369,54,983,83,470
06037651221,55500,17577,3373,284,1370,189,1423,121,257,69958,10647,3384,257,1321,215,1419,158,257,80642,13239,3596,260,1211,239,1850,134,162,92083,16491,3697,295,1332,193,1794,192,176
06037651222,82898,8535,6081,505,2589,153,2746,246,323,82849,8503,6263,433,2700,221,2717,385,202,88023,9207,6369,425,2668,229,2847,458,138,89207,6415,6459,398,2542,267,2950,447,214
06037651302,105000,9216,6288,405,4946,141,723,129,349,112224,9752,6271,361,4856,2,713,184,490,117245,14754,6032,395,4241,206,865,150,547,124844,12280,6204,363,4370,176,843,208,580
06037651304,86250,17964,4850,434,4021,129,211,62,427,95618,12596,4677,373,3801,180,240,72,384,85896,13138,4650,353,3683,170,373,90,334,86690,9855,4852,434,3722,201,293,128,493
06037651401,77098,14098,2603,161,1839,8,631,36,62,81250,11896,2528,165,1801,11,579,36,95,87083,21599,2602,188,1732,14,655,50,140,90938,14717,2521,191,1620,39,710,39,113
06037651402,81429,18243,6295,429,2955,59,2798,53,430,113616,24101,6259,366,2810,12,2931,73,433,105909,25299,6450,386,3192,17,2556,98,506,101341,23240,6236,335,2989,31,2459,80,549
06037670001,63077,11181,3314,295,2134,86,597,267,227,63964,10554,3468,300,2160,186,622,222,251,69438,14026,3486,230,2104,210,501,335,316,69766,10009,3406,251,1955,275,511,431,218
06037670002,58750,10267,4009,390,2386,127,625,438,407,65893,12637,4013,336,2236,193,771,384,341,80117,10466,3997,334,2214,222,819,315,351,75662,8486,3939,326,2264,199,758,350,302
06037670003,63125,9714,5535,431,3305,110,762,777,549,66384,19527,5610,477,3296,71,907,839,497,80272,20152,5732,410,3266,104,982,952,428,76667,12603,5707,434,3563,149,946,613,367
06037670100,61696,9139,6893,475,4031,413,1164,643,592,58340,7663,7001,476,4293,438,1056,629,531,60040,8821,6742,455,4142,444,846,717,522,62244,17026,6642,420,3383,648,1079,939,505
06037670201,137333,21566,3810,304,2542,47,818,166,209,148125,25377,3825,323,2531,21,947,151,175,144046,18906,3812,293,2648,38,822,138,166,146771,17593,3820,294,2669,26,841,114,170
06037670202,161250,21134,2728,203,1821,67,539,150,151,181750,26620,2629,167,1727,64,549,165,124,174205,25425,2562,167,1759,25,549,136,93,192188,28964,2637,204,1790,25,534,149,139
06037670324,210734,16235,5142,338,4079,104,738,18,203,207679,26014,5167,371,4086,22,740,13,306,208125,48652,5109,260,4007,24,759,17,302,214681,25613,5091,268,4051,29,743,0,268
06037670326,158177,42327,3476,267,2120,45,976,97,207,155000,21921,3488,303,2143,49,1040,62,165,151367,20446,3514,289,2375,0,992,46,89,158125,25658,3613,254,2369,0,1127,32,83
06037670328,187159,46008,4964,303,3538,40,1066,26,294,177857,38014,4936,300,3752,18,995,0,171,190583,35518,4900,246,3592,10,1097,0,201,193262,31226,4730,228,3244,22,1213,0,251
06037670403,138750,11108,2685,157,1570,23,916,8,157,143869,9665,2689,160,1477,20,1000,15,165,150652,11195,2763,158,1514,45,1048,15,134,153667,17365,2733,166,1483,26,1068,24,126
06037670405,101597,14252,3012,205,1698,36,1172,13,93,94032,18191,2818,184,1632,56,1005,0,125,102941,26028,2818,201,1588,82,1010,0,138,98533,23503,2864,200,1672,67,999,0,126
06037670406,111625,35441,1950,155,944,112,830,0,64,144250,39491,1993,122,916,107,893,0,77,170125,33603,1858,148,889,99,795,0,75,186667,34425,1759,140,763,94,816,9,71
