geoid,2020 median income,2020 median income margin of error,2020 race: total households,2020 race: total households margin of error,2020 race: White,2020 race: Black,2020 race: Asian,2020 race: Other,2020 race: 2 or more races
48029151600,41952,10258,8782,1290,6159,27,61,2055,219
48029151700,60723,5525,8053,1115,6004,0,0,711,1313
48029151900,56278,13768,7691,1160,5578,334,260,760,617
48029152000,56161,20590,3161,641,2698,69,20,175,160
48029152100,65519,12015,4822,863,3396,181,40,382,823
48029152201,27344,15679,7107,1031,6000,0,29,247,831
48029152202,44098,11224,5550,403,3931,63,19,640,796
48029160100,23423,5370,7463,1206,5811,0,0,316,1333
48029160200,33239,9401,3262,506,2084,0,1,765,412
48029160300,44489,18121,5997,1114,4823,0,24,203,910
48029160400,40050,20532,5931,930,4939,2,0,400,350
48029160501,20676,6860,5448,1546,4610,427,38,69,304
48029160502,32685,9532,4856,887,3784,187,2,258,590
48029160600,40724,5303,5224,477,4502,12,114,131,465
48029160701,42560,6647,4540,1142,3249,7,0,99,1185
48029160702,31154,6668,5138,731,3932,117,5,734,349
48029160901,35298,14455,3024,767,2119,20,0,719,166
48029160902,38612,4505,5379,723,3966,26,2,1063,190
48029161000,31893,5992,4353,876,3446,17,0,294,591
48029161100,50306,9616,9550,1679,6510,120,35,1225,1215
48029161200,45417,12756,3447,637,2580,82,8,186,580
48029161302,47744,8151,5916,837,3918,409,1,1241,307
48029161303,42734,7246,4861,774,3240,165,0,825,370
48029161304,43845,10215,4859,765,3590,0,0,432,837
48029161400,79420,4794,6305,723,3723,1282,404,206,544
48029161501,32899,10406,6956,874,5654,94,0,957,164
48029161503,47024,13150,5395,1002,4321,310,27,467,222
48029161504,45991,16146,6050,1636,4162,193,63,567,955
48029161600,35217,12931,5741,1452,4557,518,74,291,266
48029161801,69408,13269,4112,419,2604,614,61,531,126
48029161802,44153,13214,9039,1020,6672,440,352,728,714
48029161901,48417,15778,1015,267,708,0,0,254,51
48029161902,65495,7534,9989,1177,7359,623,53,875,968
48029162001,53375,10680,2027,341,1618,23,0,207,178
48029162003,56900,8800,4821,757,3793,124,22,219,532
48029162004,45000,15483,3169,563,2856,31,0,155,126
48029170101,34519,9935,3958,899,2509,207,0,208,970
48029170102,31964,14560,3496,637,2501,0,1,470,524
48029170200,22126,8136,5513,880,4315,10,5,786,351
48029170300,29667,16166,6800,1120,4728,223,34,399,1395
48029170401,26094,13648,4290,569,3355,490,49,87,300
