"B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","id","Geographic Area Name"
"1660","271","0","11","1558","291","0","11","2","6","0","11","22","30","78","99","78","99","0","11","1400000US17031711300","Census Tract 7113, Cook County, Illinois"
"2146","315","3","5","2133","316","0","11","0","11","0","11","0","11","10","17","0","11","10","17","1400000US17031711400","Census Tract 7114, Cook County, Illinois"
"2589","393","0","11","2550","388","0","11","0","11","0","11","0","11","39","49","0","11","39","49","1400000US17031711500","Census Tract 7115, Cook County, Illinois"
"4135","379","2533","326","1458","296","0","11","20","30","0","11","13","22","111","72","60","53","51","44","1400000US17031720100","Census Tract 7201, Cook County, Illinois"
"4558","417","1581","169","2733","455","6","10","11","18","0","11","31","47","196","159","0","11","196","159","1400000US17031720200","Census Tract 7202, Cook County, Illinois"
"3712","393","2497","385","1135","221","0","11","0","11","0","11","59","52","21","22","6","11","15","18","1400000US17031720300","Census Tract 7203, Cook County, Illinois"
"2125","127","1970","156","65","52","15","12","0","11","0","11","29","37","46","47","1","3","45","46","1400000US17031720400","Census Tract 7204, Cook County, Illinois"
"2149","107","2050","126","62","79","0","11","16","18","0","11","14","21","7","11","0","11","7","11","1400000US17031720500","Census Tract 7205, Cook County, Illinois"
"1790","173","1471","217","303","132","10","16","0","11","0","11","0","11","6","10","0","11","6","10","1400000US17031720600","Census Tract 7206, Cook County, Illinois"
"3293","301","1135","174","2073","326","0","11","0","11","0","11","8","14","77","74","0","11","77","74","1400000US17031720700","Census Tract 7207, Cook County, Illinois"
"2438","217","6","9","2384","214","0","11","0","11","0","11","0","11","48","45","0","11","48","45","1400000US17031730100","Census Tract 7301, Cook County, Illinois"
"5714","708","67","80","5417","690","142","166","1","4","0","16","30","50","57","75","0","16","57","75","1400000US17031730201","Census Tract 7302.01, Cook County, Illinois"
"3393","415","137","90","3208","426","0","11","0","11","0","11","0","11","48","65","0","11","48","65","1400000US17031730202","Census Tract 7302.02, Cook County, Illinois"
"1043","141","4","6","1039","141","0","11","0","11","0","11","0","11","0","11","0","11","0","11","1400000US17031730300","Census Tract 7303, Cook County, Illinois"
"3524","360","9","10","3417","350","0","11","0","11","0","11","43","53","55","61","0","11","55","61","1400000US17031730400","Census Tract 7304, Cook County, Illinois"
"4479","471","147","186","4297","452","0","11","0","11","0","11","8","27","27","30","0","11","27","30","1400000US17031730500","Census Tract 7305, Cook County, Illinois"
"3343","390","0","11","3266","384","0","11","0","11","0","11","0","11","77","70","0","11","77","70","1400000US17031730600","Census Tract 7306, Cook County, Illinois"
"2307","275","16","17","2291","275","0","11","0","11","0","11","0","11","0","11","0","11","0","11","1400000US17031730700","Census Tract 7307, Cook County, Illinois"
"2826","184","2780","184","0","11","15","24","0","11","0","11","7","13","24","30","0","11","24","30","1400000US17031740100","Census Tract 7401, Cook County, Illinois"
"6249","561","5922","545","174","161","22","37","70","51","0","16","24","39","37","36","16","27","21","24","1400000US17031740200","Census Tract 7402, Cook County, Illinois"
"4612","341","4530","333","82","97","0","11","0","11","0","11","0","11","0","11","0","11","0","11","1400000US17031740300","Census Tract 7403, Cook County, Illinois"
"4710","339","3743","301","571","184","0","11","99","118","0","11","148","179","149","83","20","21","129","84","1400000US17031740400","Census Tract 7404, Cook County, Illinois"
"4419","426","201","177","4157","391","0","11","0","11","0","11","0","11","61","60","0","11","61","60","1400000US17031750100","Census Tract 7501, Cook County, Illinois"
"2893","344","1206","117","1539","340","10","17","29","47","0","11","0","11","109","103","0","11","109","103","1400000US17031750200","Census Tract 7502, Cook County, Illinois"
"2950","290","2501","205","362","302","0","11","0","11","0","11","87","106","0","11","0","11","0","11","1400000US17031750300","Census Tract 7503, Cook County, Illinois"
"3248","328","2322","347","841","253","0","11","17","24","0","11","6","10","62","62","0","11","62","62","1400000US17031750400","Census Tract 7504, Cook County, Illinois"
"6390","850","1670","674","4504","674","13","25","57","89","0","16","5","9","141","110","25","40","116","88","1400000US17031750500","Census Tract 7505, Cook County, Illinois"
"3668","485","31","30","3552","512","0","11","0","11","0","11","7","11","78","75","8","14","70","68","1400000US17031750600","Census Tract 7506, Cook County, Illinois"
"4272","714","3246","813","108","80","30","52","560","285","0","11","126","176","202","156","0","11","202","156","1400000US17031760801","Census Tract 7608.01, Cook County, Illinois"
